Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Grazieschi, G., Zubaryeva, A., Sparber, W.","57192685152; 36919650800; 55319038300","Energy and greenhouse gases life cycle assessment of electric and hydrogen buses: A real-world case study in Bolzano Italy",2023,"Energy Reports",9,"",,6295,6310,,,10.1016/j.egyr.2023.05.234,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161264997&partnerID=40&md5=a9a0cc211b004ec82c65fb812582ebb2",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85161264997
"Kumar, A., Bhattacharya, T., Shaikh, W.A., Roy, A., Chakraborty, S., Vithanage, M., Biswas, J.K.","57198891400; 55226851800; 57193512626; 57216216576; 23134614300; 24333586200; 56697928500","Multifaceted applications of biochar in environmental management: a bibliometric profile",2023,"Biochar",5,"1", 11,,,,2,10.1007/s42773-023-00207-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150153134&partnerID=40&md5=4246c5d7e7a60345d1d013174f953631",Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85150153134
"Galusnyak, S.C., Petrescu, L., Sandu, V.-C., Cormos, C.-C.","57214794607; 55849749300; 57210153227; 15071572300","Environmental impact assessment of green ammoniacoupled with urea and ammonium nitrate production",2023,"Journal of Environmental Management",343,"", 118215,,,,,10.1016/j.jenvman.2023.118215,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160396308&partnerID=40&md5=4e65483067bb9c495fc4df1998a646e9",Article,Final,"",Scopus,2-s2.0-85160396308
"Hata, H., Inoue, K., Yoshikado, H., Genchi, Y., Tsunemi, K.","57206102816; 57191365389; 6602545562; 6508329991; 14030781600","Impact of introducing net-zero carbon strategies on tropospheric ozone (O3) and fine particulate matter (PM2.5) concentrations in Japanese region in 2050",2023,"Science of the Total Environment",891,"", 164442,,,,,10.1016/j.scitotenv.2023.164442,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160575460&partnerID=40&md5=9e7154141f926b120826acf9e10e5364",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85160575460
"Lu, T., Chen, W.-Q., Ma, Y., Qian, Q., Jia, J.","57191617762; 55716083800; 57212311874; 58247269200; 57741520800","Environmental impacts and improvement potentials for copper mining and mineral processing operations in China",2023,"Journal of Environmental Management",342,"", 118178,,,,,10.1016/j.jenvman.2023.118178,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159178846&partnerID=40&md5=644624e413d366242fd893f2b6671cd1",Article,Final,"",Scopus,2-s2.0-85159178846
"Yu, Y., Xu, Y., Zhao, X.","58244972200; 57274196900; 57210285679","Environmental management through examining the technical factors of carbon emissions in South Asian economies",2023,"Journal of Environmental Management",342,"", 118123,,,,,10.1016/j.jenvman.2023.118123,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159145999&partnerID=40&md5=54ba7d14fc49fa15d3cc0ad69a657333",Article,Final,"",Scopus,2-s2.0-85159145999
"Fernández-Ríos, A., Butnar, I., Margallo, M., Laso, J., Borrion, A., Aldaco, R.","57219594490; 16021084700; 36680290500; 55502006900; 55260236100; 8855450500","Carbon accounting of negative emissions technologies integrated in the life cycle of spirulina supplements",2023,"Science of the Total Environment",890,"", 164362,,,,,10.1016/j.scitotenv.2023.164362,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85160522892&partnerID=40&md5=26cfacee1736dc0c3258b93845584e93",Article,Final,"",Scopus,2-s2.0-85160522892
"Tan, L.-S., Ge, Z.-M., Li, S.-H., Zhou, K., Lai, D.Y.F., Temmerman, S., Dai, Z.-J.","57193500224; 12244663300; 57193861187; 57223094708; 25622164600; 6602902860; 26651222400","Impacts of land-use change on carbon dynamics in China's coastal wetlands",2023,"Science of the Total Environment",890,"", 164206,,,,,10.1016/j.scitotenv.2023.164206,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159851027&partnerID=40&md5=dfe69acb3e75b7b4786c346742f43d3a",Article,Final,"",Scopus,2-s2.0-85159851027
"Gao, J., Murshed, M., Ghardallou, W., Bakkar Siddik, A., Ali, H., Khudoykulov, K.","58162360300; 57204031604; 57191753974; 58186862000; 58311424800; 56764422200","Juxtaposing the environmental consequences of different environment-related technological innovations: The significance of establishing good democratic governance",2023,"Gondwana Research",121,"",,486,498,,,10.1016/j.gr.2023.05.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161671842&partnerID=40&md5=1bd5f3c81ac189cbf854f1bfa86e8901",Article,Final,"",Scopus,2-s2.0-85161671842
"Patil, R., Wei, Y., Shulmeister, J.","56430499700; 21234590500; 6701753955","Change in centre of timing of streamflow and its implications for environmental water allocation and river ecosystem management",2023,"Ecological Indicators",153,"", 110444,,,,,10.1016/j.ecolind.2023.110444,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85161320310&partnerID=40&md5=8f36033c909b5cfc4badac7ce70ec4cd",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85161320310
